#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
# CVS $Revision: $ $Author: $ -- Fri Jun 17 21:51:56 2016 -- reformated by PCGen PrettyLST v6.06.00

###--------------------------------------------###
##	New Formula Parser Support Mechanisms	##
###--------------------------------------------###


# ------------------------------
# Aphorite
# ------------------------------

###Block: Grant Abilities
# Ability Name						Define						Ability
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	DEFINE:Aphorite_ReplaceAbilityScores|0				ABILITY:Aphorite Racial Trait|AUTOMATIC|Aphorite ~ Ability Scores|PREVAREQ:Aphorite_ReplaceAbilityScores,0
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	DEFINE:Aphorite_ReplaceSize|0						ABILITY:Aphorite Racial Trait|AUTOMATIC|Aphorite ~ Size|PREVAREQ:Aphorite_ReplaceSize,0
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	DEFINE:Aphorite_ReplaceSpeed|0					ABILITY:Aphorite Racial Trait|AUTOMATIC|Aphorite ~ Speed|PREVAREQ:Aphorite_ReplaceSpeed,0
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	DEFINE:Aphorite_ReplaceVision|0					ABILITY:Aphorite Racial Trait|AUTOMATIC|Aphorite ~ Vision|PREVAREQ:Aphorite_ReplaceVision,0
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	DEFINE:Aphorite_ReplaceSkilled|0					ABILITY:Aphorite Racial Trait|AUTOMATIC|Aphorite ~ Skilled|PREVAREQ:Aphorite_ReplaceSkilled,0
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	DEFINE:Aphorite_ReplaceAphoriteMagic|0				ABILITY:Aphorite Racial Trait|AUTOMATIC|Aphorite ~ Aphorite Magic|PREVAREQ:Aphorite_ReplaceAphoriteMagic,0
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	DEFINE:Aphorite_ReplaceCrystallineDust|0				ABILITY:Aphorite Racial Trait|AUTOMATIC|Aphorite ~ Crystalline Dust|PREVAREQ:Aphorite_ReplaceCrystallineDust,0
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	DEFINE:Aphorite_ReplaceAphoriteResistances|0			ABILITY:Aphorite Racial Trait|AUTOMATIC|Aphorite ~ Aphorite Resistances|PREVAREQ:Aphorite_ReplaceAphoriteResistances,0
CATEGORY=Internal|Racial Traits ~ Aphorite.MOD	DEFINE:Aphorite_ReplaceLanguages|0					ABILITY:Aphorite Racial Trait|AUTOMATIC|Aphorite ~ Languages|PREVAREQ:Aphorite_ReplaceLanguages,0


