# Tue Oct  6 11:09:31 2020 -- reformated by PCGen PrettyLST v6.08.00
#SOURCELONG:Planar Adventures	SOURCESHORT:PA	SOURCEWEB:https://paizo.com/products/btpya1am	SOURCEDATE:2018-06
#insert your data here

#Class & Archetype
#Alchemist Archetype


#Ranger Archtype
# Ability Category					Visible		Editable?		Change Pool?	Fractional values?	Category of Object		Type of Object							Plural description for UI			Display Location
ABILITYCATEGORY:Planar Bond Bonus			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:Planar Bond Bonus						PLURAL:Planar Bond Bonuses			DISPLAYLOCATION:Class Features
#ABILITYCATEGORY:Basic Planar Terrains		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:No		CATEGORY:Special Ability	TYPE:Planar Terrains						PLURAL:Planar Terrains				DISPLAYLOCATION:Class Features

#Racial Abilities

#=======
#Aphorite
#=======
ABILITYCATEGORY:Aphorite Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:Aphorite Racial Trait.AphoriteRacialTrait		PLURAL:Aphorite Racial Traits			DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Aphorite Skilled Craft Bonus	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Internal			TYPE:Aphorite Skilled Craft Bonus				PLURAL:Aphorite Skilled Craft Bonuses	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Aphorite Language			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:AphoriteLanguageTrait					PLURAL:Aphorite Languages			DISPLAYLOCATION:Racial Abilities

#==========
#Duskwalker
#==========
ABILITYCATEGORY:Duskwalker Racial Trait		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:Duskwalker Racial Trait.DuskwalkerRacialTrait	PLURAL:Duskwalker Racial Traits		DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Duskwalker Language			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:DuskwalkerLanguageTrait					PLURAL:Duskwalker Languages			DISPLAYLOCATION:Racial Abilities


#=====
#Ganzi
#=====
